Algorithm,Benchmark,Rep,Seed,Evals,MaxLength,Levels,BestFitness,BestFitnessNormalised,TestFitness,TestFitnessNormalised,BestExpression
UCT,MEDIAN,16,-47265950,32768,100,0,0.0322875,0.968722376275989,0.02997624999999999,0.9708961735768179,(19) if (I)< iload_3 iload_2 return_void print_int iload_3 if (I)< iload_1 iload_2 return_void return_void return_void print_int iload_2 return_void print_int iload_3 
UCT,MEDIAN,17,23327693,32768,100,0,0.0290125,0.9718054931305499,0.030750000000000006,0.9701673538685422,(22) if (I)< iload_3 iload_1 if (I)<= iload_1 iload_2 return_void print_int iload_1 return_void print_int iload_2 concat return_void print_int iload_3 return_void return_void print_int iload_1 
UCT,MEDIAN,18,-99015822,32768,100,0,0.028450000000000007,0.972337012008362,0.032637500000000014,0.9683940395346866,(20) if (I)<= iload_1 iload_2 return_void print_int iload_3 if (I)< iload_2 iload_3 return_void return_void print_int iload_3 return_void return_void return_void print_int iload_2 
UCT,MEDIAN,19,80951064,32768,100,0,0.027375000000000003,0.9733544226791582,0.030371249999999978,0.9705239737618844,(19) if (I)< iload_3 iload_2 return_void print_int iload_3 if (I)<= iload_3 iload_1 return_void print_int iload_3 return_void return_void return_void print_int iload_2 
UCT,MEDIAN,20,-66092720,32768,100,0,0.027825000000000003,0.9729282708632306,0.03345749999999997,0.9676256643354952,(22) if (I)< iload_2 iload_1 return_void print_int iload_2 if (I)< iload_2 iload_3 concat nop return_void return_void return_void return_void print_int iload_2 return_void print_int iload_1 
UCT,MEDIAN,21,35055229,32768,100,0,0.0285625,0.9722306617244941,0.030260000000000002,0.9706287733193564,(20) concat if (I)< iload_2 iload_3 if (I)<= iload_1 iload_2 iload_1 return_void print_int iload_1 iload_2 return_void return_void return_void return_void print_int iload_2 
UCT,MEDIAN,22,-47758497,32768,100,0,0.027549999999999998,0.9731886526203105,0.029560000000000003,0.9712887058549283,(23) concat iload_1 concat iload_2 if (I)< iload_2 iload_1 return_void print_int iload_3 if (I)<= iload_3 iload_1 return_void print_int iload_1 return_void return_void return_void print_int iload_3 
UCT,MEDIAN,23,-69333537,32768,100,0,0.031224999999999996,0.9697204780721956,0.03358,0.9675109812496372,(52) concat if (I)<= iload_1 iload_3 return_void print_int iload_2 if (I)<= iload_1 iload_2 if (I)<= iload_1 iload_1 concat print_int iload_1 return_void nop iload_2 if (I)<= iload_2 iload_2 iload_3 concat concat if (I)<= iload_3 iload_1 return_void nop print_int iload_2 concat nop concat iload_1 if (I)<= iload_1 iload_3 nop nop return_void nop return_void print_int iload_3 
UCT,MEDIAN,24,85045083,32768,100,0,0.026137499999999994,0.9745282674105566,0.03183999999999998,0.9691425027135991,(27) if (I)<= iload_3 iload_1 if (I)< iload_1 iload_2 return_void print_int iload_1 concat if (I)<= iload_3 iload_1 return_void return_void print_int iload_2 return_void nop iload_1 return_void return_void print_int iload_2 
UCT,MEDIAN,25,-83204126,32768,100,0,0.022837500000000004,0.9776724064184192,0.03059625,0.9703120887544466,(33) if (I)< iload_3 iload_1 if (I)< iload_2 iload_1 return_void print_int iload_2 concat return_void print_int iload_1 nop concat concat nop concat return_void print_int iload_1 concat iload_1 return_void print_int iload_1 return_void return_void return_void print_int iload_2 
