Case 02,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Amortise opt. 23,1.0697E-06,1.17739E-06,1.13426E-06,1.00139E-06,1.15051E-06,9.2695E-07,9.22465E-07,1.00327E-06,9.91432E-07,9.79129E-07,1.02868E-06,1.12308E-06,9.26007E-07,1.00837E-06,1.0289E-06,1.00451E-06,9.88822E-07,1.0085E-06,1.12835E-06,1.09352E-06
Amortise opt. 24,1.00954E-06,1.18203E-06,1.13875E-06,1.12514E-06,1.13376E-06,9.25513E-07,9.24715E-07,9.76645E-07,1.0322E-06,9.60022E-07,1.0295E-06,1.12303E-06,9.95031E-07,1.00502E-06,1.04986E-06,1.00229E-06,1.00166E-06,1.0278E-06,1.14443E-06,1.09473E-06
Amortise opt. 25,1.02917E-06,1.182E-06,1.13287E-06,1.11722E-06,1.13697E-06,9.24792E-07,9.17756E-07,9.63529E-07,1.02887E-06,9.40508E-07,1.02016E-06,1.17249E-06,1.00421E-06,1.01982E-06,1.03019E-06,1.00883E-06,1.00242E-06,9.98619E-07,1.1287E-06,1.09338E-06
Amortise opt. 26,1.02183E-06,1.16436E-06,1.14068E-06,1.15871E-06,1.1546E-06,9.24263E-07,1.16597E-06,9.6267E-07,9.52985E-07,9.44952E-07,1.02742E-06,1.16345E-06,9.94226E-07,1.00911E-06,1.12012E-06,1.00707E-06,1.01083E-06,9.7602E-07,1.02891E-06,1.08935E-06
Amortise opt. 27,1.00455E-06,1.16491E-06,1.13051E-06,1.11747E-06,1.13444E-06,9.25997E-07,9.29E-07,9.97155E-07,9.74311E-07,1.02822E-06,1.03805E-06,1.14581E-06,1.006E-06,9.71149E-07,1.09305E-06,3.20324E-06,3.28106E-06,9.98189E-07,1.03055E-06,1.09667E-06
Amortise opt. 28,1.03012E-06,1.17474E-06,1.13326E-06,1.12964E-06,1.12961E-06,9.27101E-07,9.04185E-07,9.48734E-07,9.55852E-07,9.3071E-07,1.19158E-06,1.15352E-06,1.00204E-06,1.0376E-06,1.06623E-06,3.20553E-06,1.0084E-06,1.02105E-06,1.02179E-06,1.0949E-06
Amortise opt. 29,1.02353E-06,1.15092E-06,1.13628E-06,1.12929E-06,1.12951E-06,9.38643E-07,9.25892E-07,9.50868E-07,9.96504E-07,9.3072E-07,1.18962E-06,1.16163E-06,1.13742E-06,9.88925E-07,1.06891E-06,9.04432E-07,1.01619E-06,1.0183E-06,1.02469E-06,3.20844E-06
Amortise opt. 30,1.09114E-06,1.14851E-06,1.04158E-06,9.73686E-07,1.12625E-06,9.28826E-07,9.04659E-07,9.4828E-07,1.03661E-06,9.25172E-07,1.17521E-06,1.14134E-06,1.14964E-06,9.75388E-07,1.11945E-06,9.11686E-07,1.00369E-06,1.01168E-06,1.02181E-06,3.21816E-06
Amortise opt. 31,1.08963E-06,1.16353E-06,1.05201E-06,9.97424E-07,1.13201E-06,9.27446E-07,9.19373E-07,9.49507E-07,1.01579E-06,9.22469E-07,1.16553E-06,1.14038E-06,1.12874E-06,9.96546E-07,1.0613E-06,9.06954E-07,9.93304E-07,1.00231E-06,1.06566E-06,3.19053E-06
Amortise opt. 32,1.03414E-06,1.15597E-06,1.03804E-06,1.00511E-06,1.13357E-06,9.26921E-07,9.20866E-07,9.54267E-07,1.01512E-06,9.26735E-07,1.17176E-06,1.14881E-06,1.13315E-06,9.89573E-07,1.0595E-06,1.03654E-06,1.00114E-06,9.88411E-07,1.02259E-06,3.19701E-06
Amortise opt. 33,1.02905E-06,1.01734E-06,1.03734E-06,9.67754E-07,9.43848E-07,9.35457E-07,1.12118E-06,9.86603E-07,1.0065E-06,9.23339E-07,1.16983E-06,1.13983E-06,1.12971E-06,9.73988E-07,1.06698E-06,1.01156E-06,9.97484E-07,1.00308E-06,1.06008E-06,3.20052E-06
Amortise opt. 34,1.03004E-06,1.02954E-06,1.03423E-06,9.98528E-07,9.25736E-07,9.15385E-07,1.11619E-06,9.82738E-07,1.00832E-06,9.44639E-07,9.41007E-07,1.13958E-06,1.05239E-06,9.94402E-07,1.11014E-06,9.98592E-07,1.01278E-06,1.00259E-06,1.01993E-06,1.16967E-06
Amortise opt. 35,1.02877E-06,1.01579E-06,1.02448E-06,1.00604E-06,9.3477E-07,9.12516E-07,1.14844E-06,1.00267E-06,1.00938E-06,9.41963E-07,9.49833E-07,1.14299E-06,1.06282E-06,9.90598E-07,1.12153E-06,9.99636E-07,1.01775E-06,1.01367E-06,1.02057E-06,1.17334E-06
